logical_x	logical_y	runtime_x0	runtime_y0	runtime_x1	runtime_y1	expected_rgba	actual_origin_rgba	uniform	mismatch_pixels
23	6	184	48	191	55	#2A3340FF	#2A3340FF	true	0
0	7	0	56	7	63	#00000000	#00000000	true	0
1	7	8	56	15	63	#00000000	#00000000	true	0
2	7	16	56	23	63	#00000000	#00000000	true	0
3	7	24	56	31	63	#00000000	#00000000	true	0
4	7	32	56	39	63	#00000000	#00000000	true	0
5	7	40	56	47	63	#00000000	#00000000	true	0
6	7	48	56	55	63	#00000000	#00000000	true	0
7	7	56	56	63	63	#00000000	#00000000	true	0
8	7	64	56	71	63	#00000000	#00000000	true	0
9	7	72	56	79	63	#00000000	#00000000	true	0
10	7	80	56	87	63	#00000000	#00000000	true	0
11	7	88	56	95	63	#2A3340FF	#2A3340FF	true	0
12	7	96	56	103	63	#F4F2E8FF	#F4F2E8FF	true	0
13	7	104	56	111	63	#F4F2E8FF	#F4F2E8FF	true	0
14	7	112	56	119	63	#F4F2E8FF	#F4F2E8FF	true	0
15	7	120	56	127	63	#F4F2E8FF	#F4F2E8FF	true	0
16	7	128	56	135	63	#F4F2E8FF	#F4F2E8FF	true	0
17	7	136	56	143	63	#F4F2E8FF	#F4F2E8FF	true	0
18	7	144	56	151	63	#F4F2E8FF	#F4F2E8FF	true	0
19	7	152	56	159	63	#F4F2E8FF	#F4F2E8FF	true	0
20	7	160	56	167	63	#F4F2E8FF	#F4F2E8FF	true	0
21	7	168	56	175	63	#F4F2E8FF	#F4F2E8FF	true	0
22	7	176	56	183	63	#F4F2E8FF	#F4F2E8FF	true	0
23	7	184	56	191	63	#CDD2D8FF	#CDD2D8FF	true	0
0	8	0	64	7	71	#00000000	#00000000	true	0
1	8	8	64	15	71	#00000000	#00000000	true	0
2	8	16	64	23	71	#00000000	#00000000	true	0
3	8	24	64	31	71	#00000000	#00000000	true	0
4	8	32	64	39	71	#00000000	#00000000	true	0
5	8	40	64	47	71	#00000000	#00000000	true	0
6	8	48	64	55	71	#00000000	#00000000	true	0
7	8	56	64	63	71	#00000000	#00000000	true	0
8	8	64	64	71	71	#00000000	#00000000	true	0
9	8	72	64	79	71	#00000000	#00000000	true	0
10	8	80	64	87	71	#00000000	#00000000	true	0
11	8	88	64	95	71	#2A3340FF	#2A3340FF	true	0
12	8	96	64	103	71	#F4F2E8FF	#F4F2E8FF	true	0
13	8	104	64	111	71	#F4F2E8FF	#F4F2E8FF	true	0
14	8	112	64	119	71	#F4F2E8FF	#F4F2E8FF	true	0
15	8	120	64	127	71	#F4F2E8FF	#F4F2E8FF	true	0
16	8	128	64	135	71	#F4F2E8FF	#F4F2E8FF	true	0
17	8	136	64	143	71	#F4F2E8FF	#F4F2E8FF	true	0
18	8	144	64	151	71	#F4F2E8FF	#F4F2E8FF	true	0
19	8	152	64	159	71	#86D7A8FF	#86D7A8FF	true	0
20	8	160	64	167	71	#86D7A8FF	#86D7A8FF	true	0
21	8	168	64	175	71	#F4F2E8FF	#F4F2E8FF	true	0
22	8	176	64	183	71	#F4F2E8FF	#F4F2E8FF	true	0
23	8	184	64	191	71	#F4F2E8FF	#F4F2E8FF	true	0
0	9	0	72	7	79	#00000000	#00000000	true	0
1	9	8	72	15	79	#00000000	#00000000	true	0
2	9	16	72	23	79	#00000000	#00000000	true	0
3	9	24	72	31	79	#00000000	#00000000	true	0
4	9	32	72	39	79	#00000000	#00000000	true	0
5	9	40	72	47	79	#00000000	#00000000	true	0
6	9	48	72	55	79	#00000000	#00000000	true	0
7	9	56	72	63	79	#00000000	#00000000	true	0
8	9	64	72	71	79	#00000000	#00000000	true	0
9	9	72	72	79	79	#00000000	#00000000	true	0
10	9	80	72	87	79	#00000000	#00000000	true	0
11	9	88	72	95	79	#2A3340FF	#2A3340FF	true	0
12	9	96	72	103	79	#F4F2E8FF	#F4F2E8FF	true	0
13	9	104	72	111	79	#F4F2E8FF	#F4F2E8FF	true	0
14	9	112	72	119	79	#F4F2E8FF	#F4F2E8FF	true	0
15	9	120	72	127	79	#F4F2E8FF	#F4F2E8FF	true	0
16	9	128	72	135	79	#F4F2E8FF	#F4F2E8FF	true	0
