frame	state	pose	rgba_sha256
26	waving	wave-high	327527d88cee049699e53aa6b5f71732a53cdd9ec950d4f19b315e6844f93a90
27	waving	wave-high	327527d88cee049699e53aa6b5f71732a53cdd9ec950d4f19b315e6844f93a90
28	waving	wave-low	54e876985163cc0930a7b1655fef43e5bd3ba20fa9e2c2d6c43b3ba82ec2649e
29	waving	wave-high	327527d88cee049699e53aa6b5f71732a53cdd9ec950d4f19b315e6844f93a90
30	waving	wave-low	54e876985163cc0930a7b1655fef43e5bd3ba20fa9e2c2d6c43b3ba82ec2649e
31	waving	canonical	cfb50024b6b044d37a9d55f0cf995f5688a4722907cc35b7cc30a350cab7992d
32	jumping	run-right-a	ac7e84a8ea3cf778e6e67864a5767b9e6e903e9cb62ae968cd4ecd7dd07848d6
33	jumping	run-right-b	230ab033af9cf049268a986c31c22dc6c4c9be6dd95eaa69c8c757e5693df6d6
34	jumping	jump-rise	3484353b1f906b3d0f51119b4220bc752796cfe8e64b885b25326ac33a5e4751
35	jumping	jump-apex	5f1bddcc9c4ecf05a528bf06cdf4483bc498e94228b877b50d517209cbe60a34
36	jumping	jump-apex	5f1bddcc9c4ecf05a528bf06cdf4483bc498e94228b877b50d517209cbe60a34
37	jumping	jump-rise	3484353b1f906b3d0f51119b4220bc752796cfe8e64b885b25326ac33a5e4751
38	jumping	run-right-b	230ab033af9cf049268a986c31c22dc6c4c9be6dd95eaa69c8c757e5693df6d6
39	jumping	run-right-a	ac7e84a8ea3cf778e6e67864a5767b9e6e903e9cb62ae968cd4ecd7dd07848d6
40	failed	failed	2d88cbb77e1c9d8b24837f0102c1d9f91ef27ea4031928baa44725f7ec0a84c3
41	failed	failed	2d88cbb77e1c9d8b24837f0102c1d9f91ef27ea4031928baa44725f7ec0a84c3
42	failed	failed-blink	4f10d1473267b226bfa286aed5c6563cf51266a6f6727b81b57c547c8e20fdab
43	failed	failed	2d88cbb77e1c9d8b24837f0102c1d9f91ef27ea4031928baa44725f7ec0a84c3
44	failed	failed	2d88cbb77e1c9d8b24837f0102c1d9f91ef27ea4031928baa44725f7ec0a84c3
45	failed	failed-blink	4f10d1473267b226bfa286aed5c6563cf51266a6f6727b81b57c547c8e20fdab
46	failed	failed	2d88cbb77e1c9d8b24837f0102c1d9f91ef27ea4031928baa44725f7ec0a84c3
47	failed	failed	2d88cbb77e1c9d8b24837f0102c1d9f91ef27ea4031928baa44725f7ec0a84c3
48	waiting	canonical	cfb50024b6b044d37a9d55f0cf995f5688a4722907cc35b7cc30a350cab7992d
49	waiting	waiting	03609ad73baa851f38447c1396132225c387b6f41a1d259754e735a8b87dc3ca
50	waiting	waiting	03609ad73baa851f38447c1396132225c387b6f41a1d259754e735a8b87dc3ca
51	waiting	blink	fb144a32fb2fc5bed451398536bd18d2d617e7ff136b591a84c6575de9e939e9
52	waiting	waiting	03609ad73baa851f38447c1396132225c387b6f41a1d259754e735a8b87dc3ca
53	waiting	waiting	03609ad73baa851f38447c1396132225c387b6f41a1d259754e735a8b87dc3ca
54	waiting	tail-lift	01e87a38df1c52471a3776443d466ddac9551dadf4ec81bc07dee5f6a8789137
55	waiting	canonical	cfb50024b6b044d37a9d55f0cf995f5688a4722907cc35b7cc30a350cab7992d
56	running	work-up	e3bbaa00ab7c67c39d83db143e98635225b5f722e6c9f67b08e7e2d765980694
57	running	work-up	e3bbaa00ab7c67c39d83db143e98635225b5f722e6c9f67b08e7e2d765980694
58	running	work-down	3a10586951a62ed681836d78f5850a8c333d0bea51b84585c20817f766806ff9
59	running	work-down	3a10586951a62ed681836d78f5850a8c333d0bea51b84585c20817f766806ff9
60	running	work-up	e3bbaa00ab7c67c39d83db143e98635225b5f722e6c9f67b08e7e2d765980694
61	running	work-up	e3bbaa00ab7c67c39d83db143e98635225b5f722e6c9f67b08e7e2d765980694
