frame	state	pose	file	file_sha256	rgba_sha256	width	height	pixel_mismatches
32	jumping	run-right-a	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_032.png	a924fb397f1b957e252624ce6c035a976a1ce4e65ca98759401b6345f904ae51	ac7e84a8ea3cf778e6e67864a5767b9e6e903e9cb62ae968cd4ecd7dd07848d6	192	208	0
33	jumping	run-right-b	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_033.png	9c5dc7adb6a0ba4aa035c90ce9372669413418f0908bd3c967472a340d88e740	230ab033af9cf049268a986c31c22dc6c4c9be6dd95eaa69c8c757e5693df6d6	192	208	0
34	jumping	jump-rise	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_034.png	798730d8a6eb1237eefb95724949e9e6a833d0c7085babc3dd12971073144a74	3484353b1f906b3d0f51119b4220bc752796cfe8e64b885b25326ac33a5e4751	192	208	0
35	jumping	jump-apex	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_035.png	91aa9f21d888f20e3aeb78bd5d322084f5dcfdde6f1a77fd48d3e09b6d6ad3e0	5f1bddcc9c4ecf05a528bf06cdf4483bc498e94228b877b50d517209cbe60a34	192	208	0
36	jumping	jump-apex	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_036.png	91aa9f21d888f20e3aeb78bd5d322084f5dcfdde6f1a77fd48d3e09b6d6ad3e0	5f1bddcc9c4ecf05a528bf06cdf4483bc498e94228b877b50d517209cbe60a34	192	208	0
37	jumping	jump-rise	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_037.png	798730d8a6eb1237eefb95724949e9e6a833d0c7085babc3dd12971073144a74	3484353b1f906b3d0f51119b4220bc752796cfe8e64b885b25326ac33a5e4751	192	208	0
38	jumping	run-right-b	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_038.png	9c5dc7adb6a0ba4aa035c90ce9372669413418f0908bd3c967472a340d88e740	230ab033af9cf049268a986c31c22dc6c4c9be6dd95eaa69c8c757e5693df6d6	192	208	0
39	jumping	run-right-a	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_039.png	a924fb397f1b957e252624ce6c035a976a1ce4e65ca98759401b6345f904ae51	ac7e84a8ea3cf778e6e67864a5767b9e6e903e9cb62ae968cd4ecd7dd07848d6	192	208	0
40	failed	failed	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_040.png	2a8078e97079aa5b7fc464d14fd4c309161b3f20cb695ddfb82e44c0232448b6	2d88cbb77e1c9d8b24837f0102c1d9f91ef27ea4031928baa44725f7ec0a84c3	192	208	0
41	failed	failed	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_041.png	2a8078e97079aa5b7fc464d14fd4c309161b3f20cb695ddfb82e44c0232448b6	2d88cbb77e1c9d8b24837f0102c1d9f91ef27ea4031928baa44725f7ec0a84c3	192	208	0
42	failed	failed-blink	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_042.png	f05b59e8c1c4a10cf75c07bc0ad3c74d34f2ba47700ad1996700e33d0bc01dfc	4f10d1473267b226bfa286aed5c6563cf51266a6f6727b81b57c547c8e20fdab	192	208	0
43	failed	failed	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_043.png	2a8078e97079aa5b7fc464d14fd4c309161b3f20cb695ddfb82e44c0232448b6	2d88cbb77e1c9d8b24837f0102c1d9f91ef27ea4031928baa44725f7ec0a84c3	192	208	0
